"","fec_ini_cdto2","fec_ini_cdto","rgo_edad","rgo_limite","B_activo","cdtos","clientes","cap_ini","cap_act","sdo_act","pgos_totales","pgos_sucursal","pgos_banco","pgos_otrocanal"
"1","15-01-2019",2019-01-02,"25-34","(1000-2000]","Inactivo",14,12,13282.08,0,0,13615.7,13350.7,0,0
"2","15-01-2019",2019-01-02,"25-34","(2000-5000]","Inactivo",6,3,5715.32,0,0,6028.8,6028.8,0,0
"3","15-01-2019",2019-01-02,"25-34","(5000+]","Activo",1,1,524.72,524.72,1794.15,0,0,0,0
"4","15-01-2019",2019-01-02,"25-34","(5000+]","Inactivo",3,2,3796,0,0,3964,3964,0,0
"5","15-01-2019",2019-01-02,"25-34","1000-","Inactivo",8,7,5355.36,0,0,5464.54,5464.54,0,0
"6","15-01-2019",2019-01-02,"35+","(1000-2000]","Inactivo",25,23,22775.24,0,0,23708.94,21069.3,0,0
"7","15-01-2019",2019-01-02,"35+","(2000-5000]","Inactivo",27,22,50902.49,0,0,51100.29,51100.29,0,0
"8","15-01-2019",2019-01-02,"35+","(5000+]","Inactivo",10,8,41630.84,0,0,42652.22,42652.22,0,0
"9","15-01-2019",2019-01-02,"35+","1000-","Inactivo",10,10,7109.4,0,0,7458.17,7458.17,0,0
"10","15-01-2019",2019-01-03,"25-34","(1000-2000]","Inactivo",23,17,22924.08,0,0,23929.65,22991.57,0,0
"11","15-01-2019",2019-01-03,"25-34","(2000-5000]","Activo",1,1,1384.4,609.04,1803.54,1457.06,0,0,0
"12","15-01-2019",2019-01-03,"25-34","(2000-5000]","Inactivo",9,8,20672.58,0,0,21181.74,19895.99,0,0
"13","15-01-2019",2019-01-03,"25-34","(5000+]","Inactivo",3,2,3870,0,0,3870,3870,0,0
"14","15-01-2019",2019-01-03,"25-34","1000-","Inactivo",6,6,3306.68,0,0,3409.58,3409.58,0,0
"15","15-01-2019",2019-01-03,"35+","(1000-2000]","Inactivo",37,32,37501.54,0,0,38327.32,37919.32,0,0
"16","15-01-2019",2019-01-03,"35+","(2000-5000]","Inactivo",32,29,53932.47,0,0,54786.11,54786.11,0,0
"17","15-01-2019",2019-01-03,"35+","(5000+]","Inactivo",15,11,54217.56,0,0,54227.3,54227.3,0,0
"18","15-01-2019",2019-01-03,"35+","1000-","Activo",1,1,666,262.9,921.59,650,0,0,0
"19","15-01-2019",2019-01-03,"35+","1000-","Inactivo",15,14,10794.36,0,0,11186.84,11186.84,0,0
"20","15-01-2019",2019-01-04,"18-24","(1000-2000]","Inactivo",1,1,1498.24,0,0,1595.62,1595.62,0,0
"21","15-01-2019",2019-01-04,"25-34","(1000-2000]","Activo",1,1,508,508,1218.77,0,0,0,0
"22","15-01-2019",2019-01-04,"25-34","(1000-2000]","Inactivo",23,16,20690.24,0,0,21763.46,21763.46,0,0
"23","15-01-2019",2019-01-04,"25-34","(2000-5000]","Inactivo",11,8,20287.58,0,0,21138.59,21138.59,0,0
"24","15-01-2019",2019-01-04,"25-34","(5000+]","Activo",1,1,2279,2279,0,0,0,0,0
"25","15-01-2019",2019-01-04,"25-34","(5000+]","Inactivo",1,1,2256,0,0,2256,2256,0,0
"26","15-01-2019",2019-01-04,"25-34","1000-","Activo",1,1,934.32,510.52,1764.04,467.16,467.16,0,0
"27","15-01-2019",2019-01-04,"25-34","1000-","Inactivo",12,10,6062.6,0,0,6469.06,6469.06,0,0
"28","15-01-2019",2019-01-04,"35+","(1000-2000]","Activo",1,1,1764,1764,0,0,0,0,0
"29","15-01-2019",2019-01-04,"35+","(1000-2000]","Inactivo",40,39,52760.58,0,0,54149.48,53449.48,0,0
"30","15-01-2019",2019-01-04,"35+","(2000-5000]","Activo",1,1,3403,3403,0,0,0,0,0
"31","15-01-2019",2019-01-04,"35+","(2000-5000]","Inactivo",58,49,113131.2,0,0,115962.68,114268.82,0,0
"32","15-01-2019",2019-01-04,"35+","(5000+]","Inactivo",24,14,53714.97,0,0,54380.06,54380.06,0,0
"33","15-01-2019",2019-01-04,"35+","1000-","Inactivo",15,15,10395.6,0,0,10591.54,10591.54,0,0
"34","15-01-2019",2019-01-05,"18-24","(1000-2000]","Inactivo",1,1,526.5,0,0,610.83,0,0,0
"35","15-01-2019",2019-01-05,"18-24","(2000-5000]","Inactivo",1,1,1205.36,0,0,1205.36,1205.36,0,0
"36","15-01-2019",2019-01-05,"18-24","1000-","Inactivo",2,2,1592.84,0,0,1733.24,1217.76,0,0
"37","15-01-2019",2019-01-05,"25-34","(1000-2000]","Activo",1,1,1237.6,637.21,2666.48,1650,500,0,0
"38","15-01-2019",2019-01-05,"25-34","(1000-2000]","Inactivo",37,28,30388.84,0,0,31782.59,31282.59,0,0
"39","15-01-2019",2019-01-05,"25-34","(2000-5000]","Activo",1,1,1296,972.06,3935.79,554,554,0,0
"40","15-01-2019",2019-01-05,"25-34","(2000-5000]","Inactivo",29,22,45302.11,0,0,46299.94,46299.94,0,0
"41","15-01-2019",2019-01-05,"25-34","(5000+]","Inactivo",2,2,6757.99,0,0,6757.99,6757.99,0,0
"42","15-01-2019",2019-01-05,"25-34","1000-","Activo",3,2,1345.28,1345.28,3226.16,0,0,0,0
"43","15-01-2019",2019-01-05,"25-34","1000-","Inactivo",8,8,4614.24,0,0,4680,4680,0,0
"44","15-01-2019",2019-01-05,"35+","(1000-2000]","Activo",1,1,1276.56,1173.9,2559.67,500,0,0,0
"45","15-01-2019",2019-01-05,"35+","(1000-2000]","Inactivo",76,64,82521.35,0,0,85364.93,83468.16,0,0
"46","15-01-2019",2019-01-05,"35+","(2000-5000]","Activo",2,2,4640.92,4640.92,5365.26,0,0,0,0
"47","15-01-2019",2019-01-05,"35+","(2000-5000]","Inactivo",47,40,81402.68,0,0,83619.16,83300.16,0,0
