"","cliente","fecha","pago","id_sucursal","hora"
"1",1,2018-07-30,0,5,14
"2",2,2018-07-02,200,5,12
"3",3,2017-08-29,0,5,16
"4",5,2018-09-25,0,5,13
"5",6,2018-04-06,700,5,13
"6",7,2018-10-23,0,5,11
"7",8,2018-10-01,0,5,14
"8",1,2018-02-02,0,5,14
"9",9,2018-08-26,0,5,14
"10",10,2018-03-20,0,5,11
"11",11,2018-11-29,0,5,15
"12",6,2018-05-30,1436.15,5,13
"13",1,2018-08-17,0,5,16
"14",12,2018-10-29,0,5,14
"15",1,2018-05-13,0,5,12
"16",11,2017-10-25,0,5,13
"17",6,2018-05-29,0,5,12
"18",14,2017-08-10,0,5,13
"19",6,2018-05-15,0,5,15
"20",15,2018-07-08,0,5,16
"21",9,2017-09-02,0,5,14
"22",9,2018-12-15,0,5,16
"23",16,2017-10-26,0,5,10
"24",11,2018-07-30,0,5,11
"25",17,2018-08-25,0,5,13
"26",8,2018-04-25,0,5,10
"27",18,2018-02-07,0,5,12
"28",10,2018-04-09,848.04,5,13
"29",8,2017-12-02,0,5,12
"30",19,2017-12-06,310,5,11
"31",18,2018-02-20,0,5,11
"32",20,2017-09-14,300,5,13
"33",14,2017-07-21,0,5,12
"34",21,NA,0,5,14
"35",22,2017-11-15,313.73,5,12
"36",8,2018-06-07,0,5,11
"37",9,2018-07-25,0,5,12
"38",25,2018-12-27,0,5,14
"39",26,2018-07-31,0,5,13
"40",11,2018-08-19,0,5,12
"41",12,2018-03-14,0,5,12
"42",27,2018-07-24,0,5,14
"43",18,2017-08-16,0,5,12
"44",28,2018-02-13,0,5,16
"45",5,2018-09-11,0,5,14
"46",10,2018-03-24,0,5,13
"47",1,2018-11-22,0,5,16
"48",22,2017-11-09,0,5,11
"49",29,2018-02-14,0,5,13
"50",31,2018-05-28,0,5,11
"51",32,2018-04-21,0,5,16
"52",33,2017-07-31,0,5,12
"53",34,2018-08-09,0,5,10
"54",30,2018-05-10,0,5,13
"55",11,2018-03-20,0,5,10
"56",1,2018-06-23,0,5,13
"57",15,2018-12-12,0,5,14
"58",5,2018-10-10,0,5,15
"59",9,2018-06-04,0,5,16
"60",15,2018-11-15,0,5,11
"61",26,2018-07-06,0,5,11
"62",35,2018-02-11,0,5,13
"63",16,2018-03-10,0,5,13
"64",16,2018-01-07,0,5,14
"65",36,2018-07-25,374.62,5,10
"66",37,2017-07-20,0,5,14
"67",9,2018-10-21,0,5,16
"68",38,2018-07-30,0,5,13
"69",18,2018-02-10,0,5,15
"70",38,2018-05-13,0,5,13
"71",26,2017-10-15,0,5,12
"72",26,2018-09-19,0,5,16
"73",18,2018-07-22,0,5,13
"74",39,2018-04-11,0,5,16
"75",19,2018-01-07,589.78,5,16
"76",38,2018-11-06,0,5,15
"77",28,2018-05-19,0,5,10
"78",15,2018-07-19,0,5,13
"79",40,2017-10-25,0,5,16
"80",41,2018-01-24,0,5,12
"81",18,2018-08-16,0,5,16
"82",42,2018-12-10,0,5,17
"83",43,2017-12-18,0,5,13
"84",26,2018-10-02,0,5,13
"85",44,2018-01-22,0,5,11
"86",39,2018-08-25,0,5,12
"87",45,2017-12-15,0,5,13
"88",31,2018-04-24,0,5,15
"89",34,2018-07-21,0,5,12
"90",27,2017-11-29,0,5,15
"91",38,2018-10-20,0,5,16
"92",34,2018-10-13,0,5,16
"93",49,2018-04-12,750,5,11
"94",50,2018-02-06,0,5,15
"95",18,2018-08-31,0,5,12
"96",51,2018-04-20,0,5,16
"97",15,2018-07-01,0,5,12
"98",34,2018-06-07,0,5,15
"99",15,2018-11-22,0,5,16
"100",53,2017-11-06,0,5,11
"101",54,2017-11-20,0,5,13
"102",19,2017-09-18,600,5,11
"103",55,2018-04-24,0,5,11
"104",27,2018-12-13,0,5,11
"105",31,2018-05-20,0,5,16
"106",56,2018-02-06,0,5,16
"107",56,2018-01-22,1000,5,15
"108",58,2018-06-04,0,5,12
"109",59,2018-11-14,0,5,14
"110",60,2018-10-01,0,5,12
"111",11,2017-11-02,0,5,12
"112",40,2017-08-01,0,5,14
"113",12,2018-06-06,0,5,16
"114",37,2017-07-22,0,5,17
"115",18,2017-07-22,0,5,14
"116",35,2018-02-18,0,5,16
"117",60,2018-10-04,0,5,10
"118",58,2018-06-14,0,5,12
"119",62,2018-05-17,0,5,11
"120",39,2018-09-19,0,5,11
"121",39,2018-07-21,0,5,16
"122",34,2018-09-17,0,5,11
"123",2,2018-06-10,200,5,10
"124",11,2018-09-06,0,5,10
"125",7,2018-09-24,0,5,12
"126",40,2017-08-11,0,5,12
"127",40,2017-09-20,0,5,17
"128",17,2018-06-19,0,5,16
"129",63,2017-12-26,500,5,12
"130",38,2018-08-03,0,5,13
"131",11,2018-01-16,0,5,10
"132",44,2017-12-06,0,5,11
"133",63,2017-12-09,0,5,14
"134",38,2018-10-16,0,5,13
"135",65,2017-09-10,0,5,16
"136",66,2017-08-09,0,5,11
"137",19,2018-01-03,0,5,14
"138",23,2018-04-04,0,5,13
"139",54,2017-09-29,0,5,12
"140",37,2017-11-05,0,5,11
"141",7,2018-10-11,0,5,16
"142",68,2018-04-12,500,5,12
"143",62,2018-04-11,0,5,14
"144",18,2018-06-05,0,5,16
